City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Avarua,CK,-21.2078,-159.775,75.25,100,92,1.14,light rain
1,Albany,US,42.6001,-73.9662,51.17,41,57,1.01,broken clouds
2,Kuching,MY,1.55,110.3333,82.02,94,20,2.3,few clouds
3,Dingle,PH,10.9995,122.6711,76.77,84,100,7.4,overcast clouds
4,Busselton,AU,-33.65,115.3333,57.42,79,0,12.39,clear sky
5,Bethel,US,41.3712,-73.414,57.63,38,0,5.75,clear sky
6,Mataura,NZ,-46.1927,168.8643,40.5,98,100,4.43,light rain
7,Tres Arroyos,AR,-38.3739,-60.2798,77.94,20,0,20.22,clear sky
8,Yellowknife,CA,62.456,-114.3525,-14.28,76,0,0.0,clear sky
9,Vaini,TO,-21.2,-175.2,77.16,100,75,2.3,broken clouds
10,Bluff,NZ,-46.6,168.3333,46.74,64,100,17.58,overcast clouds
11,Am Timan,TD,11.0297,20.2827,98.76,14,32,5.44,scattered clouds
12,Nahan,IN,30.55,77.3,64.24,50,0,4.72,clear sky
13,Jamestown,US,42.097,-79.2353,42.03,85,100,6.91,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,38.86,87,100,4.61,moderate rain
15,Chokurdakh,RU,70.6333,147.9167,-0.29,91,100,8.84,overcast clouds
16,Roebourne,AU,-20.7833,117.1333,84.54,69,100,8.39,overcast clouds
17,Ahipara,NZ,-35.1667,173.1667,59.27,87,0,1.36,clear sky
18,Sisimiut,GL,66.9395,-53.6735,14.11,70,14,6.31,few clouds
19,Dillon,US,34.4166,-79.3712,71.62,88,100,13.29,overcast clouds
20,Cape Town,ZA,-33.9258,18.4232,77.41,42,0,10.36,clear sky
21,Vao,NC,-22.6667,167.4833,77.23,84,94,18.12,overcast clouds
22,Inirida,CO,3.8653,-67.9239,79.99,82,91,3.49,overcast clouds
23,Lompoc,US,34.6391,-120.4579,54.79,72,20,6.91,few clouds
24,Punta Arenas,CL,-53.15,-70.9167,41.02,87,100,12.66,light rain
25,San Cristobal,VE,7.7669,-72.225,71.78,48,99,7.02,overcast clouds
26,Hami,CN,42.8,93.45,56.7,17,6,6.08,clear sky
27,Carnarvon,AU,-24.8667,113.6333,74.53,74,97,17.49,overcast clouds
28,Codrington,AU,-38.2667,141.9667,57.07,89,86,4.09,overcast clouds
29,Puri,IN,19.8,85.85,81.12,87,43,10.56,scattered clouds
30,Tiksi,RU,71.6872,128.8694,-0.62,86,72,21.72,broken clouds
31,Port Moresby,PG,-9.4431,147.1797,74.62,94,20,5.75,few clouds
32,Mahebourg,MU,-20.4081,57.7,80.89,78,40,3.44,scattered clouds
33,Kapaa,US,22.0752,-159.319,71.58,81,100,4.61,overcast clouds
34,Rikitea,PF,-23.1203,-134.9692,79.41,79,25,15.64,light rain
35,Harper,LR,4.375,-7.7169,83.03,74,100,9.33,light rain
36,Peniche,PT,39.3558,-9.3811,77.07,56,20,7.09,few clouds
37,Saskylakh,RU,71.9167,114.0833,-4.95,97,100,12.15,overcast clouds
38,Dikson,RU,73.5069,80.5464,-22.83,100,86,4.38,overcast clouds
39,Saint-Louis,SN,16.3333,-15.0,103.64,6,0,11.1,clear sky
40,Bosaso,SO,11.2842,49.1816,84.81,68,69,5.48,broken clouds
41,Pakokku,MM,21.3333,95.1,85.93,35,24,10.45,few clouds
42,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,74,100,11.5,overcast clouds
43,Swift Current,CA,50.2834,-107.8014,13.01,85,100,3.44,overcast clouds
44,Porto Belo,BR,-27.1578,-48.5531,84.79,58,62,11.25,broken clouds
45,Tromso,NO,69.6496,18.957,28.42,50,0,0.0,clear sky
46,Carbondale,US,37.7273,-89.2168,45.05,78,100,13.8,overcast clouds
47,Provideniya,RU,64.3833,-173.3,-9.2,100,67,6.87,broken clouds
48,Zemio,CF,5.0314,25.1361,86.5,38,69,3.89,broken clouds
49,Davila,PH,18.4726,120.5763,80.58,84,6,17.63,clear sky
50,New Norfolk,AU,-42.7826,147.0587,53.92,69,100,2.3,overcast clouds
51,Port Keats,AU,-14.25,129.55,80.42,72,32,2.93,scattered clouds
52,Paita,PE,-5.0892,-81.1144,81.81,65,88,4.97,overcast clouds
53,Summerside,CA,46.3959,-63.7876,36.46,80,98,9.22,overcast clouds
